Number One,Number Two,Their GCD,Time Spent(nanoseconds)
1529,1309,11,110
9641,34,1,130
7580,6740,20,100
5447,2953,1,150
5081,9727,1,170
5327,9557,1,160
8589,5417,1,160
8838,6628,2,100
3988,2858,2,140
4756,6872,4,120
7159,7361,1,150
8093,9399,1,130
4422,3877,1,140
6021,7976,1,150
782,9609,1,150
1458,2122,2,100
8104,6076,4,110
2709,1689,3,160
7434,1522,2,150
5957,3866,1,170
5498,2120,2,150
8694,4403,7,110
193,4225,1,120
6116,4482,2,160
7137,7870,1,160
2937,5019,3,150
7638,7810,2,130
165,8186,1,130
9128,4250,2,120
1608,1461,3,120
9344,3706,2,170
7936,7056,16,110
4729,813,1,130
289,5816,1,70
9131,7356,1,120
8497,3014,1,140
97,1943,1,100
7710,4057,1,130
4576,9127,1,110
1499,350,1,150
7742,800,2,130
1499,375,1,90
6330,2598,6,140
4449,3367,1,130
9548,4712,124,90
4858,3601,1,140
6781,1158,1,130
186,4631,1,100
6102,5175,9,120
48,4954,2,100
3938,8101,1,110
1117,205,1,140
2805,1087,1,180
3044,2572,4,110
7573,9052,1,100
7571,2358,1,150
9726,7486,2,140
7572,9104,4,110
6544,6916,4,110
2208,4934,2,110
1918,3124,2,150
948,5985,3,120
3799,2146,29,120
4207,2270,1,170
7089,3426,3,110
349,4553,1,110
3025,9858,1,130
4455,3796,1,150
2141,106,1,90
7277,119,1,100
4711,9990,1,130
5980,3641,1,160
8708,7943,1,150
1649,5188,1,130
2676,5952,12,120
3909,742,1,150
2159,5309,1,130
654,1266,6,120
6373,3697,1,170
3926,2433,1,140
7720,2142,2,140
114,8727,3,110
8311,7106,1,160
731,8182,1,130
3736,6268,4,130
9601,2829,1,150
9971,6473,1,160
9947,9245,1,130
761,3252,1,130
8889,9083,1,140
9668,4623,1,140
2100,6572,4,160
1212,3018,6,110
2028,4532,4,130
8051,531,1,140
4662,5534,2,150
4846,8708,2,160
179,8238,1,110
8808,2555,1,110
70,7631,1,90
2203,6908,1,170
8454,9489,3,120
5506,7317,1,140
60,1734,6,100
5800,41,1,100
742,3870,2,130
3895,5402,1,120
206,8837,1,120
132,8924,4,130
7373,698,1,120
5306,7755,1,110
3401,7384,1,150
6174,6419,49,100
1676,8320,4,110
8285,6193,1,140
6284,7899,1,140
785,7122,1,120
9652,8755,1,160
8873,9350,1,110
9730,1412,2,120
8513,5822,1,150
2009,7885,1,120
2530,6222,2,170
1382,6644,2,130
5359,8177,1,170
462,6864,66,100
9636,4026,66,140
4679,16,1,110
9855,7473,3,110
6876,703,1,140
7613,8040,1,150
9716,9513,7,120
5627,2974,1,140
6153,5817,21,100
1383,9991,1,120
8986,6308,2,170
7529,416,1,110
91,9916,1,110
6863,5972,1,160
135,3254,1,130
68,4047,1,110
2821,1561,7,130
3326,9349,1,130
3337,1793,1,120
7692,3250,2,120
6038,118,2,110
2817,5499,9,130
7376,3610,2,100
5781,6651,3,150
8638,9473,1,140
461,5024,1,130
6342,9853,1,110
1065,7120,5,140
6039,1448,1,120
5815,2832,1,120
1238,1196,2,100
1978,7190,2,160
8403,3522,3,160
360,3240,360,80
2661,9220,1,160
1704,4337,1,140
7350,676,2,120
1710,8266,2,110
7030,409,1,120
7484,5165,1,120
9634,3666,2,130
9282,7790,2,140
7200,1787,1,130
217,2489,1,130
4633,3799,1,120
2339,9836,1,160
2951,9517,1,120
8007,2477,1,120
5141,701,1,100
4470,9142,2,120
1347,5788,1,150
3644,698,2,120
1862,461,1,130
8682,8772,6,110
7858,4271,1,140
2079,3964,1,140
3539,8482,1,140
224,3183,1,140
3596,9740,4,140
9984,8334,6,130
7197,4915,1,120
7495,5810,5,130
1011,713,1,150
3116,486,2,120
3025,7082,1,140
4006,2042,2,130
6894,7320,6,110
2560,7314,2,110
2926,682,22,110
5216,3809,1,150
4103,1899,1,150
1898,7269,1,130
8287,954,1,130
2234,5985,1,140
5528,9769,1,200
7078,8474,2,110
5576,7494,2,140
1287,8985,3,130
1394,4730,2,140
1104,9821,23,130
6340,9602,2,130
4190,4223,1,100
4457,7425,1,120
9438,8627,1,140
5742,6101,1,110
345,7025,5,110
7989,8041,1,120
2988,6442,2,130
9017,9913,1,140
7115,4953,1,130
134,1761,1,100
4666,5884,2,110
1201,2257,1,140
188,6226,2,110
4654,423,1,90
5827,8033,1,180
1794,6122,2,130
5995,6575,5,110
7690,3077,1,100
8945,4859,1,120
1977,3004,1,130
2696,124,4,110
6099,9267,3,170
2890,6360,10,110
1094,630,2,140
4839,2350,1,130
1072,8553,1,140
9875,4032,1,140
2093,886,1,130
7819,2358,1,130
3265,887,1,130
357,8561,7,110
626,1364,2,130
6718,9192,2,120
6709,2615,1,130
1304,8717,1,150
6618,8193,3,120
3725,798,1,110
3070,7793,1,110
1007,7851,1,130
7015,3751,1,170
4962,5302,2,130
225,4278,3,80
6703,3401,1,140
8580,5956,4,140
5314,6035,1,120
429,3853,1,130
6627,295,1,120
5022,7947,9,150
7463,781,1,120
8052,2551,1,150
2501,1063,1,120
9612,5780,4,120
909,2127,3,110
2252,4102,2,150
8666,1950,2,120
9993,9547,1,130
1685,1046,1,110
2853,9194,1,130
958,6450,2,110
3703,7475,23,110
9580,3685,5,110
7287,3666,3,110
1953,8121,3,110
5403,967,1,160
7900,9972,4,140
8606,2978,2,140
3930,948,6,110
1870,7425,55,110
1636,8261,1,100
6737,7827,1,130
9121,9514,1,140
2291,1786,1,130
953,3026,1,120
2252,6884,4,120
2344,3869,1,130
2157,7618,1,150
5808,1887,3,110
1878,556,2,130
3759,6545,7,130
3971,7786,1,120
3785,7399,1,130
930,2943,3,110
922,2978,2,130
6600,2285,5,120
5275,8584,1,180
4505,6576,1,180
9439,1476,1,150
2796,280,4,110
8986,4985,1,130
9535,597,1,120
7865,5351,1,140
9735,2476,1,150
8809,7334,1,120
2876,406,2,100
6661,9656,1,150
308,4044,4,110
9258,6657,3,160
2248,538,2,140
732,9249,3,150
