Number One,Number Two,Their GCD,Time Spent(nanoseconds)
5800,41,1,140
742,3870,2,140
3895,5402,1,140
206,8837,1,140
132,8924,4,130
7373,698,1,170
5306,7755,1,100
3401,7384,1,130
6174,6419,49,110
1676,8320,4,140
8285,6193,1,140
6284,7899,1,180
785,7122,1,150
9652,8755,1,140
8873,9350,1,170
9730,1412,2,170
8513,5822,1,150
2009,7885,1,160
2530,6222,2,150
1382,6644,2,140
5359,8177,1,170
462,6864,66,110
9636,4026,66,140
4679,16,1,120
9855,7473,3,150
6876,703,1,140
7613,8040,1,170
9716,9513,7,140
5627,2974,1,160
6153,5817,21,140
1383,9991,1,130
8986,6308,2,180
7529,416,1,150
91,9916,1,120
6863,5972,1,150
135,3254,1,150
68,4047,1,130
2821,1561,7,140
3326,9349,1,170
3337,1793,1,130
7692,3250,2,160
6038,118,2,130
2817,5499,9,120
7376,3610,2,140
5781,6651,3,170
8638,9473,1,130
461,5024,1,130
6342,9853,1,170
1065,7120,5,140
6039,1448,1,160
5815,2832,1,140
1238,1196,2,130
1978,7190,2,170
8403,3522,3,150
360,3240,360,80
2661,9220,1,150
1704,4337,1,120
7350,676,2,110
1710,8266,2,120
7030,409,1,140
7484,5165,1,100
9634,3666,2,130
9282,7790,2,120
7200,1787,1,140
217,2489,1,120
4633,3799,1,130
2339,9836,1,140
2951,9517,1,120
8007,2477,1,110
5141,701,1,80
4470,9142,2,110
1347,5788,1,140
3644,698,2,110
1862,461,1,100
8682,8772,6,90
7858,4271,1,160
2079,3964,1,120
3539,8482,1,100
224,3183,1,110
3596,9740,4,130
9984,8334,6,110
7197,4915,1,100
7495,5810,5,140
1011,713,1,130
3116,486,2,120
3025,7082,1,420
4006,2042,2,130
6894,7320,6,140
2560,7314,2,140
2926,682,22,130
5216,3809,1,160
4103,1899,1,180
1898,7269,1,150
8287,954,1,170
2234,5985,1,140
5528,9769,1,150
7078,8474,2,170
5576,7494,2,180
1287,8985,3,140
1394,4730,2,140
1104,9821,23,120
6340,9602,2,170
4190,4223,1,120
4457,7425,1,140
9438,8627,1,120
5742,6101,1,120
345,7025,5,150
7989,8041,1,190
2988,6442,2,150
9017,9913,1,160
7115,4953,1,160
134,1761,1,140
4666,5884,2,170
1201,2257,1,170
188,6226,2,130
4654,423,1,130
5827,8033,1,160
1794,6122,2,160
5995,6575,5,120
7690,3077,1,130
8945,4859,1,140
1977,3004,1,150
2696,124,4,140
6099,9267,3,150
2890,6360,10,130
1094,630,2,140
4839,2350,1,160
1072,8553,1,110
9875,4032,1,160
2093,886,1,150
7819,2358,1,170
3265,887,1,140
357,8561,7,120
626,1364,2,150
6718,9192,2,130
6709,2615,1,170
1304,8717,1,150
6618,8193,3,140
3725,798,1,130
3070,7793,1,120
1007,7851,1,150
7015,3751,1,160
4962,5302,2,160
225,4278,3,120
6703,3401,1,160
8580,5956,4,150
5314,6035,1,140
429,3853,1,110
6627,295,1,130
5022,7947,9,140
7463,781,1,140
8052,2551,1,150
2501,1063,1,150
9612,5780,4,140
909,2127,3,100
2252,4102,2,150
8666,1950,2,150
9993,9547,1,150
1685,1046,1,130
2853,9194,1,150
958,6450,2,120
3703,7475,23,120
9580,3685,5,130
7287,3666,3,130
1953,8121,3,160
5403,967,1,160
7900,9972,4,150
8606,2978,2,140
3930,948,6,120
1870,7425,55,120
1636,8261,1,150
6737,7827,1,150
9121,9514,1,140
2291,1786,1,150
953,3026,1,150
2252,6884,4,150
2344,3869,1,160
2157,7618,1,180
5808,1887,3,130
1878,556,2,120
3759,6545,7,140
3971,7786,1,131
3785,7399,1,160
930,2943,3,131
922,2978,2,160
6600,2285,5,140
5275,8584,1,160
4505,6576,1,169
9439,1476,1,180
2796,280,4,120
8986,4985,1,180
9535,597,1,131
7865,5351,1,180
9735,2476,1,160
8809,7334,1,151
2876,406,2,131
6661,9656,1,149
308,4044,4,129
9258,6657,3,151
2248,538,2,130
732,9249,3,150
5872,8459,1,140
9034,8446,2,140
9802,4897,1,120
8828,5677,1,140
7162,7789,1,150
1161,8914,1,130
8885,7633,1,170
8546,4833,1,160
7428,5119,1,150
5835,1785,15,150
3239,9853,1,170
9974,5716,2,140
2510,4274,2,150
8134,6486,2,160
7880,4640,40,150
5365,1084,1,150
8066,1582,2,140
6261,9926,1,140
1168,1417,1,160
5979,3588,3,120
8114,3015,1,170
3678,2874,6,130
3993,6286,1,130
7537,2378,1,140
1836,1468,4,110
9461,5470,1,170
3369,8348,1,170
7066,512,2,140
4476,718,2,180
8880,1154,2,160
1006,4577,1,160
6424,1500,4,160
6090,7934,2,150
785,4324,1,160
8658,2486,2,150
6308,3564,4,130
3737,9422,1,160
8473,4008,1,150
6320,5570,10,150
1856,5629,1,150
3114,3344,2,140
5783,3620,1,170
7527,6835,1,140
106,4996,2,150
3569,7304,83,120
192,3626,2,140
5018,6101,1,160
2138,456,2,140
1449,606,3,100
976,4632,8,110
7690,8534,2,110
1131,1447,1,100
6101,7955,1,130
9916,2757,1,130
6446,1015,1,150
7278,6646,2,120
9766,8293,1,120
6966,2762,2,140
4773,4064,1,130
6512,1587,1,120
4307,8022,1,130
6456,3742,2,110
3297,9632,7,110
2840,9771,1,130
6139,7208,1,140
3040,4905,5,100
4930,9008,2,150
2542,9780,2,140
1617,2989,49,110
7079,4817,1,140
8672,2589,1,140
9952,6498,2,130
6445,7645,5,130
2973,4208,1,100
1179,2499,3,130
