Number One,Number Two,Their GCD,Time Spent(nanoseconds)
5807,4701,1,8770
3100,1618,2,3220
586,5059,1,1120
6479,2639,1,4970
1173,5417,1,2210
6600,8761,1,12220
6064,1284,4,2440
9097,2885,1,5380
7232,2381,1,4500
2902,82,2,210
5361,454,1,900
2565,447,3,960
4599,3294,9,6200
2732,6809,1,5100
7392,2882,22,5740
5906,4418,2,8220
2371,299,1,590
506,7602,2,1040
1770,206,2,500
833,9170,7,1680
3915,1387,1,2720
6093,1630,1,3070
7271,2951,1,5510
1072,4337,1,2030
7462,7488,26,14210
6466,3661,1,6850
7029,758,1,1500
4646,3765,1,7040
7685,3781,1,7060
1529,1309,11,2490
9641,34,1,160
7580,6740,20,12550
5447,2953,1,5510
5081,9727,1,9440
5327,9557,1,9880
8589,5417,1,10550
8838,6628,2,12580
3988,2858,2,5530
4756,6872,4,9200
7159,7361,1,13500
8093,9399,1,15050
4422,3877,1,7300
6021,7976,1,11180
782,9609,1,1500
1458,2122,2,2760
8104,6076,4,11280
2709,1689,3,3230
7434,1522,2,3000
5957,3866,1,7230
5498,2120,2,3960
8694,4403,7,8380
193,4225,1,440
6116,4482,2,8400
7137,7870,1,13270
2937,5019,3,5500
7638,7810,2,14240
165,8186,1,370
9128,4250,2,7980
1608,1461,3,2830
9344,3706,2,6980
7936,7056,16,13180
4729,813,1,1540
289,5816,1,590
9131,7356,1,13650
8497,3014,1,5630
97,1943,1,240
7710,4057,1,7630
4576,9127,1,8500
1499,350,1,690
7742,800,2,1580
1499,375,1,730
6330,2598,6,4900
4449,3367,1,6290
9548,4712,124,8930
4858,3601,1,6720
6781,1158,1,2180
186,4631,1,390
6102,5175,9,9690
48,4954,2,160
3938,8101,1,7330
1117,205,1,420
2805,1087,1,2160
3044,2572,4,4820
7573,9052,1,14090
7571,2358,1,4410
9726,7486,2,13920
7572,9104,4,14080
6544,6916,4,16850
2208,4934,2,4140
1918,3124,2,3640
948,5985,3,1960
3799,2146,29,4030
4207,2270,1,4240
7089,3426,3,6420
349,4553,1,700
3025,9858,1,5710
4455,3796,1,7190
2141,106,1,240
7277,119,1,280
4711,9990,1,8950
5980,3641,1,6930
8708,7943,1,14800
1649,5188,1,3110
2676,5952,12,5180
3909,742,1,1420
2159,5309,1,4030
654,1266,6,1290
6373,3697,1,6860
3926,2433,1,4580
7720,2142,2,4080
114,8727,3,270
8311,7106,1,13160
731,8182,1,16300
3736,6268,4,7160
9601,2829,1,5320
9971,6473,1,12190
9947,9245,1,17160
761,3252,1,1500
8889,9083,1,16470
9668,4623,1,8590
2100,6572,4,3990
1212,3018,6,2310
2028,4532,4,3840
8051,531,1,1040
4662,5534,2,8670
4846,8708,2,9040
179,8238,1,380
8808,2555,1,4840
70,7631,1,180
2203,6908,1,4160
8454,9489,3,15670
5506,7317,1,10260
60,1734,6,200
5800,41,1,200
742,3870,2,1530
3895,5402,1,7800
206,8837,1,470
132,8924,4,380
7373,698,1,1380
5306,7755,1,10090
3401,7384,1,6480
6174,6419,49,11710
1676,8320,4,3390
8285,6193,1,11680
6284,7899,1,11800
785,7122,1,1540
9652,8755,1,16490
8873,9350,1,16990
9730,1412,2,2770
8513,5822,1,10930
2009,7885,1,3900
2530,6222,2,4800
1382,6644,2,2630
5359,8177,1,9980
462,6864,66,1120
9636,4026,66,7640
4679,16,1,90
9855,7473,3,13950
6876,703,1,1410
7613,8040,1,14330
9716,9513,7,17660
5627,2974,1,5560
6153,5817,21,10840
1383,9991,1,2610
8986,6308,2,11710
7529,416,1,820
91,9916,1,250
6863,5972,1,11580
135,3254,1,370
68,4047,1,240
2821,1561,7,3040
3326,9349,1,6260
3337,1793,1,3430
7692,3250,2,6220
6038,118,2,300
2817,5499,9,5470
7376,3610,2,6870
5781,6651,3,10880
8638,9473,1,16230
461,5024,1,980
6342,9853,1,11850
1065,7120,5,2150
6039,1448,1,2830
5815,2832,1,5400
1238,1196,2,2360
1978,7190,2,3730
8403,3522,3,6570
360,3240,180,940
2661,9220,1,5020
1704,4337,1,3200
7350,676,2,1530
1710,8266,2,3200
7030,409,1,860
7484,5165,1,9590
9634,3666,2,6810
9282,7790,2,14960
7200,1787,1,3760
217,2489,1,500
4633,3799,1,7170
2339,9836,1,4500
2951,9517,1,5580
8007,2477,1,4750
5141,701,1,1410
4470,9142,2,8650
1347,5788,1,2580
3644,698,2,1370
1862,461,1,970
8682,8772,6,16330
7858,4271,1,8010
2079,3964,1,3930
3539,8482,1,6770
224,3183,1,490
3596,9740,4,6880
9984,8334,6,15760
7197,4915,1,9350
7495,5810,5,11050
1011,713,1,1420
3116,486,2,1040
3025,7082,1,5690
4006,2042,2,3880
6894,7320,6,13060
2560,7314,2,4920
2926,682,22,1430
5216,3809,1,7230
4103,1899,1,3620
1898,7269,1,3680
8287,954,1,1810
2234,5985,1,4660
5528,9769,1,10380
7078,8474,2,13280
5576,7494,2,10470
1287,8985,3,2510
1394,4730,2,2750
1104,9821,23,2170
6340,9602,2,11840
4190,4223,1,7890
4457,7425,1,8530
9438,8627,1,16300
5742,6101,1,10650
345,7025,5,700
7989,8041,1,14840
2988,6442,2,5570
9017,9913,1,21640
7115,4953,1,9210
134,1761,1,290
4666,5884,2,8680
1201,2257,1,2280
188,6226,2,410
4654,423,1,860
5827,8033,1,10830
1794,6122,2,3350
5995,6575,5,11140
7690,3077,1,5740
8945,4859,1,9610
1977,3004,1,3790
2696,124,4,330
6099,9267,3,11550
2890,6360,10,5660
1094,630,2,1260
4839,2350,1,4450
1072,8553,1,2080
9875,4032,1,7670
2093,886,1,1770
7819,2358,1,4540
3265,887,1,1730
357,8561,7,750
626,1364,2,1290
6718,9192,2,12690
6709,2615,1,4910
1304,8717,1,2510
6618,8193,3,12580
3725,798,1,1600
3070,7793,1,5850
1007,7851,1,1970
7015,3751,1,7180
4962,5302,2,9390
225,4278,3,580
6703,3401,1,6650
8580,5956,4,11490
5314,6035,1,10000
429,3853,1,870
6627,295,1,640
5022,7947,9,9410
7463,781,1,1540
8052,2551,1,4950
2501,1063,1,2080
9612,5780,4,10970
909,2127,3,1770
2252,4102,2,4460
8666,1950,2,3680
9993,9547,1,17690
1685,1046,1,1990
2853,9194,1,5320
958,6450,2,1940
3703,7475,23,6970
9580,3685,5,6890
7287,3666,3,7330
1953,8121,3,3740
5403,967,1,1890
7900,9972,4,15000
8606,2978,2,5690
3930,948,6,1920
1870,7425,55,3710
1636,8261,1,3130
6737,7827,1,12560
9121,9514,1,17040
2291,1786,1,3420
953,3026,1,1890
2252,6884,4,4280
2344,3869,1,4460
2157,7618,1,4200
5808,1887,3,3720
1878,556,2,1100
3759,6545,7,7100
3971,7786,1,7400
3785,7399,1,7080
930,2943,3,1800
922,2978,2,1750
6600,2285,5,4580
5275,8584,1,9900
4505,6576,1,8470
9439,1476,1,2780
2796,280,4,600
8986,4985,1,9270
9535,597,1,1170
7865,5351,1,10010
9735,2476,1,4710
8809,7334,1,13600
2876,406,2,810
6661,9656,1,12450
308,4044,4,640
9258,6657,3,12380
2248,538,2,1060
732,9249,3,1400
5872,8459,1,10900
9034,8446,2,15650
9802,4897,1,9150
8828,5677,1,10560
7162,7789,1,13260
1161,8914,1,2190
8885,7633,1,14160
8546,4833,1,8970
7428,5119,1,9550
5835,1785,15,3410
3239,9853,1,6050
9974,5716,2,10620
2510,4274,2,4680
8134,6486,2,12090
7880,4640,40,8710
5365,1084,1,2100
8066,1582,2,3000
6261,9926,1,11630
1168,1417,1,2210
5979,3588,3,6680
8114,3015,1,5620
3678,2874,6,5380
3993,6286,1,7450
7537,2378,1,4430
1836,1468,4,2910
9461,5470,1,10140
3369,8348,1,6280
7066,512,2,990
4476,718,2,1410
8880,1154,2,2410
1006,4577,1,1920
6424,1500,4,2890
6090,7934,2,11290
785,4324,1,1540
8658,2486,2,4770
6308,3564,4,6690
3737,9422,1,6970
8473,4008,1,7460
6320,5570,10,10460
1856,5629,1,3490
3114,3344,2,5920
5783,3620,1,6730
7527,6835,1,12710
106,4996,2,240
3569,7304,83,6730
192,3626,2,450
5018,6101,1,9310
2138,456,2,890
1449,606,3,1230
976,4632,8,1900
7690,8534,2,14280
1131,1447,1,2140
6101,7955,1,11360
9916,2757,1,5180
6446,1015,1,1940
7278,6646,2,12360
9766,8293,1,15400
6966,2762,2,5260
4773,4064,1,7600
6512,1587,1,3080
4307,8022,1,8090
6456,3742,2,7040
3297,9632,7,6300
2840,9771,1,5300
6139,7208,1,11470
3040,4905,5,5730
4930,9008,2,9200
2542,9780,2,4880
1617,2989,49,3080
7079,4817,1,13030
8672,2589,1,4880
9952,6498,2,12100
6445,7645,5,11990
2973,4208,1,5580
1179,2499,3,2300
3571,5426,1,6650
3691,7488,1,7120
7024,8230,2,13050
4249,9165,1,8000
2465,3724,1,4700
431,57,1,150
7674,5001,3,9320
3117,4438,1,5830
5349,2675,1,5000
8768,5190,2,9690
3951,1979,1,3730
7571,9884,1,14080
2852,9290,2,5340
6730,1506,2,2850
7543,4325,1,8050
3741,219,3,490
4911,2168,1,4050
5569,3966,1,7370
226,7444,2,480
2963,5772,1,5670
1024,3818,2,1980
9540,4599,9,10690
