Number One,Number Two,Their GCD,Time Spent(nanoseconds)
6811,8287,1,1100
9398,2860,2,700
3397,68,1,600
135,1522,1,800
3124,9046,2,1600
1989,8622,9,1000
5660,7283,1,1000
2764,2237,1,800
7327,5247,1,1000
8660,4624,4,700
1362,3462,6,600
45,9039,3,700
4862,2086,2,600
1731,7327,1,900
6865,6307,1,800
3120,6875,5,900
7268,5074,2,800
5786,6604,2,1000
3660,8639,1,800
3514,7274,2,700
6661,1269,1,600
30,4619,1,700
4085,2894,1,700
1690,8971,1,900
345,8106,3,700
1342,4090,2,700
9214,6322,2,700
9957,7136,1,700
9327,8328,3,900
3623,5617,1,700
9803,9676,1,800
1668,7651,1,800
8637,2660,1,1300
1301,8897,1,1100
177,9959,1,2500
594,2372,2,700
5765,6059,1,3800
9278,8599,1,1100
63,3422,1,1300
2411,7263,1,900
174,1533,3,900
9690,7310,170,600
6771,9007,1,600
8284,6488,4,900
6508,4702,2,900
8966,8053,1,700
476,4048,4,700
495,6776,11,800
5953,5588,1,800
1706,8066,2,700
1285,5319,1,800
6202,2259,1,800
9631,5766,1,700
3781,94,1,600
9736,4311,1,700
3229,6537,1,700
2597,8646,1,700
8085,8256,3,700
9127,4751,1,700
5761,7700,7,700
9403,797,1,600
5745,358,1,500
2624,3482,2,600
1844,1460,4,600
9284,2170,2,700
1388,3301,1,700
492,6686,2,700
5860,1127,1,700
3863,8624,1,1300
7355,3340,5,600
6004,6055,1,700
2844,1056,12,900
254,7595,1,600
504,2908,4,700
1444,6514,2,500
8794,1943,1,700
6497,4105,1,900
4470,4474,2,800
9713,7568,11,1000
7510,5218,2,900
9719,4705,1,900
2958,9836,2,800
4072,2222,2,1000
1,3784,1,900
4322,4304,2,1000
5363,5921,31,1500
1698,6889,1,1200
2581,5697,1,1200
1690,8622,2,1900
5472,8407,1,1100
6502,6310,2,1200
511,3986,1,1200
4224,643,1,1300
1683,2387,11,1600
1579,1491,1,1200
9746,2486,22,1500
5146,6466,2,1300
9158,2204,38,1900
311,2399,1,1400
1775,3360,5,14500
8541,1975,1,900
7111,514,1,900
9843,6977,1,1500
9431,3418,1,1400
911,9408,1,1300
5971,7124,1,5200
3324,7265,1,1400
9473,6656,1,1400
4152,930,6,1100
2652,8183,1,1200
9842,9072,14,1500
9209,7235,1,900
9422,1622,2,1400
4621,9742,1,1700
3838,9046,2,1400
8225,1070,5,1100
6800,9905,5,1500
4781,6885,1,1000
8483,861,1,1000
7402,9942,2,1200
5990,8357,1,1800
6920,9254,2,1900
1677,8034,39,1300
3086,5456,2,1400
9296,1684,4,1100
2075,5737,1,1200
1648,7286,2,1300
9830,5868,2,1500
2380,8443,1,1700
6002,8631,1,1800
7732,3655,1,1200
7637,2174,1,1400
6230,1359,1,2400
1332,6264,36,900
8659,8155,7,1200
5961,4119,3,1200
1165,9205,5,1200
7649,5978,1,1500
4897,4738,1,1000
7971,6299,1,1100
8418,3068,2,1100
1164,6262,2,1300
6625,5019,1,1200
8348,2724,4,1300
6319,7217,1,1100
5121,9369,9,1200
4573,9890,1,1500
526,6151,1,1100
6386,7429,1,1400
5268,6197,1,1200
9294,1122,6,1500
6552,4610,2,1200
6852,6581,1,1200
3578,2780,2,1400
9883,1400,1,1200
1042,2839,1,1500
5181,1783,1,1200
7647,9876,3,1200
6392,3397,1,1400
7081,1480,1,1500
3634,2366,2,1300
9294,2301,3,1000
5882,1762,2,1300
5892,2089,1,1300
176,3949,11,1400
2470,4789,1,1100
911,8130,1,1200
347,8450,1,1600
6553,3322,1,1100
1743,4945,1,1300
59,6008,1,900
9578,4384,2,2300
8143,8526,1,1600
3172,1687,1,1300
5379,458,1,1200
6310,4282,2,900
8695,3427,1,1200
8170,6515,5,1000
1781,7453,1,1500
3559,2708,1,1200
5688,5419,1,1300
9402,8513,1,1500
8675,3087,1,1300
8755,9588,17,2000
6335,3103,1,1100
6939,6088,1,1200
1685,2644,1,1800
6075,6087,3,1000
7053,4501,1,1400
4594,7130,2,1400
8634,3082,2,1200
9661,7420,1,2600
898,9223,1,1300
1122,8608,2,1500
668,3933,1,1200
4156,1022,2,1200
8472,6856,8,1900
136,6621,1,1300
4427,3108,1,900
4640,8556,4,1200
6191,5618,1,1300
6192,4029,3,1300
3295,4664,1,1200
1256,2852,4,1100
6480,1245,15,1000
1996,2235,1,1000
2573,4680,1,1300
7309,8433,1,1700
2115,9,9,900
1239,4549,1,1400
4227,162,3,1300
9913,9405,1,1100
9401,150,1,1300
3459,8161,1,1200
