Number One,Number Two,Their GCD,Time Spent(nanoseconds)
4592,6832,112,58000
1486,7601,1,18800
6490,4617,1,57500
6612,9235,1,83100
6219,5106,3,67200
3846,1627,1,27500
8830,7253,1,90600
5788,5253,1,65500
528,8303,1,7000
2815,4127,1,35200
1903,1765,1,22200
7118,9647,1,91300
3604,8855,1,45400
1950,232,2,3600
7558,1685,1,21200
8199,618,3,8100
3848,8171,1,54700
3662,2478,2,31100
2490,4635,15,31400
3184,1473,1,18600
7720,2071,1,26100
7499,4960,1,61600
6558,9680,2,82400
338,7777,1,4600
8342,4696,2,59000
3403,9488,1,42500
3772,2137,1,27000
3992,2513,1,44800
9047,6704,1,117300
4215,6295,5,65000
594,6393,3,7900
8979,948,3,12100
907,4288,1,11700
6546,8820,6,82400
2904,5848,8,36500
1017,9883,1,13000
5442,8289,3,67600
7468,6069,1,92700
5644,4502,2,56700
2262,1277,1,16700
319,2438,1,4400
2350,8488,2,29800
2438,3054,2,30700
8083,8899,1,100300
2882,5870,2,36200
9245,8276,1,102700
2174,9286,2,27200
8227,352,1,4800
2162,6124,2,27300
8887,1586,1,20300
2228,9400,4,28600
3325,8702,19,42100
5893,4239,1,57000
7090,2312,2,29900
1560,6215,5,19900
6309,9591,3,78700
8531,6667,1,83000
2882,1808,2,22800
8465,4252,1,60100
5029,8785,1,64000
6316,5387,1,67600
6861,4897,1,61100
4333,4415,1,53900
4955,5508,1,62100
6067,9589,1,75300
6412,9740,4,106100
5311,3221,1,41100
1937,11,1,400
8216,7726,2,101400
7121,6575,1,83700
9348,8943,3,129100
8471,9518,1,116300
8505,5100,15,65300
3415,116,1,2200
7334,4950,2,62900
6477,9170,1,82200
1782,483,3,6800
5845,8191,1,74100
1508,2896,4,20100
9872,1132,4,14800
5334,5655,3,78600
3192,8222,2,40400
8482,4223,1,54000
8474,2888,38,43300
2426,6015,1,31000
1059,8030,1,13800
7588,8675,1,95400
4165,1595,5,20500
5646,6275,1,106500
7874,5249,1,75800
945,8393,7,16600
7390,6022,2,85900
1540,444,4,7300
8254,7005,1,99400
1000,2826,2,15100
6990,3012,6,44400
6490,5062,2,73000
8452,4237,1,70100
2711,1922,1,27900
9830,4996,2,71100
9496,8380,4,122400
5415,7575,15,77600
5259,7301,1,76300
577,8353,1,8900
3993,6069,3,57800
5427,9363,3,112700
7811,245,1,3700
7841,4767,1,63400
5862,3100,2,80800
3156,9533,1,104700
7213,852,1,28200
5543,8689,1,190100
7155,9080,5,241100
6462,2852,2,90900
1940,7909,1,125300
3973,7142,1,173600
9986,6900,2,294200
6259,9800,1,315400
2917,2940,1,165300
6835,3421,1,191500
9043,9227,1,518100
3434,2762,2,175000
7776,7641,27,230300
8824,4214,2,226200
3415,8252,1,158000
1530,6516,18,75300
4450,8356,2,200700
9597,2223,3,102600
8985,1309,1,99900
6227,720,1,32600
3605,9129,1,173100
9370,6404,2,267800
1558,7664,2,72900
9278,9881,1,480000
7382,5735,1,110800
4758,2018,2,39700
768,536,8,15100
3052,8890,14,127700
9622,559,1,44600
4077,5795,1,100400
9532,7424,4,144300
2226,6147,3,44000
622,3619,1,13000
3774,2330,2,46000
6914,5530,2,146700
8899,5627,1,115900
6732,5394,6,125800
6551,9595,1,134000
881,7744,1,19100
3901,1248,1,26100
3571,7413,1,127100
7154,4269,1,224200
9030,9013,1,404400
7808,463,1,19000
6442,3785,1,158200
5627,8518,1,259200
8322,3463,1,131800
2456,2935,1,51800
8510,6394,46,132100
6490,2160,10,76100
847,7520,1,43000
8502,7420,2,339400
4037,7451,1,89100
199,1455,1,10500
341,8504,1,16900
1146,4182,6,30700
3761,572,1,12100
9042,9186,6,213400
4314,5443,1,88200
9241,1210,1,25100
1586,3260,2,39900
7183,9093,1,197000
7180,4648,4,96600
9662,9517,1,197500
7874,5134,2,132900
8,4545,1,800
8570,2298,2,45200
3637,5617,1,84700
3140,5676,4,74100
5826,3295,1,64500
1447,9632,1,29400
7990,8182,2,161500
1027,3911,1,20800
6092,7200,4,120300
6426,4676,14,93000
4816,2252,4,44900
3137,1632,1,31800
3109,8474,1,61000
7743,3006,3,72600
8251,6851,1,136900
4738,4415,1,86300
1081,1342,1,21300
4163,7362,1,80600
9017,2119,1,41700
5391,3105,9,60500
3948,50,2,2200
686,3010,14,14600
2549,2238,1,44100
1247,2109,1,24900
145,3704,1,3600
6298,6918,2,141500
1340,5162,2,26500
8293,5273,1,102300
3198,1290,6,26500
1786,1004,2,21000
5846,1313,1,26300
8437,6155,1,141500
7624,2174,2,69800
6557,5995,1,146400
8876,556,4,11300
4323,9818,1,91900
7354,134,2,3100
1559,2956,1,28900
3186,2473,1,46100
7695,3404,1,62500
9553,8234,1,149300
5584,6023,1,101500
8946,672,42,22100
6240,1642,2,31400
8048,3860,4,71000
7583,5911,1,120300
7408,9645,1,136400
9388,3435,1,66400
9467,955,1,17800
7440,9638,2,135400
4340,562,2,11600
9281,1524,1,28200
8620,1530,10,44400
9545,3358,23,61300
9034,7799,1,157100
6638,2223,1,41000
2063,2361,1,38000
8071,7369,1,154100
3362,5939,1,58800
6824,2882,2,50400
4537,1243,1,21900
2673,8281,1,46700
8724,4150,2,77000
2717,851,1,16000
8599,8665,1,160100
6615,3138,3,79500
5860,8764,4,100600
660,571,1,10700
9238,8848,2,151600
3471,49,1,1400
6286,1650,2,53600
2526,4246,2,37700
4874,989,1,15200
4440,3383,1,51700
4520,198,2,3700
3745,5397,7,65000
7128,24,12,1200
3995,1116,1,17500
4349,3096,1,46500
9530,4811,1,74200
8852,9626,2,130800
776,123,1,2500
5241,7028,1,78100
3555,8774,1,60000
7171,574,1,8900
1174,2046,2,18100
9625,4428,1,76000
6434,8256,2,95600
3807,5570,1,56700
2164,9278,2,32100
5619,6329,1,83200
3318,7908,6,49600
6944,8730,2,131400
8146,403,1,6800
8399,7691,1,131600
7058,1150,2,19000
2724,2403,3,38000
6326,1162,2,18600
5039,4742,1,73600
9272,3247,1,58100
2973,6045,3,46400
9857,4304,1,66800
6231,2729,1,42900
7510,4955,5,76800
1238,4964,2,29000
7729,2562,1,40100
3335,3207,1,50300
9925,9161,1,167900
1318,6434,2,21800
1661,7033,1,27900
7405,3794,1,62900
8796,3715,1,64100
5484,2658,6,44500
7015,239,1,4500
9594,8226,18,144700
5795,1885,5,38600
3511,9194,1,58000
4816,2782,2,46400
9753,742,1,12400
3499,936,1,16000
89,8722,1,2100
995,760,5,13200
7615,9621,1,124300
7533,5104,1,84000
4956,2848,4,47700
7161,2710,1,44600
7958,6725,1,120400
5563,8234,1,90700
9636,2208,12,39900
5800,724,4,12500
9466,3056,2,52400
9735,723,3,12600
424,2113,1,9800
8416,3918,2,64000
1708,1783,1,35800
7777,7538,1,123700
9963,5501,1,100100
2292,3794,2,37600
974,8721,1,16700
5633,6368,1,91600
2773,1874,1,31000
3465,4743,9,78400
2269,8239,1,34200
3396,8444,4,50600
1068,553,1,8700
6374,5094,2,75400
406,7646,2,6500
4250,3044,2,46100
3761,2477,1,50400
9606,3745,1,56600
5576,536,8,8500
6358,3193,1,47700
5956,5806,2,86300
119,3912,1,2400
5551,2885,1,43000
2260,9768,4,34700
7040,7135,5,104000
3632,9326,2,54100
609,4305,21,10000
1784,9498,2,35100
800,8186,2,12100
8436,4837,1,72700
2556,3240,36,61600
9437,770,1,9900
2512,8374,2,31800
1307,9134,1,16800
6936,4301,17,54300
1497,3863,1,18900
6863,3597,1,53200
3661,3399,1,44200
7474,7621,1,104300
5968,7081,1,93900
3325,4970,35,55100
9013,6241,1,105600
4993,4676,1,76500
