Number One,Number Two,Their GCD,Time Spent(nanoseconds)
1105,6299,1,1200
6104,7811,1,1400
382,6169,1,1200
6724,2590,2,1100
9425,4177,1,1000
9757,5329,1,1800
7195,2854,1,1100
8797,1133,1,1200
8687,6832,7,1400
1891,8746,1,1500
6213,2318,19,1000
5751,8061,3,1200
5962,4435,1,1400
3425,6724,1,1400
3964,8397,1,1200
3927,7652,1,1300
5081,7212,1,1800
5216,2611,1,1100
3134,6751,1,1100
1436,5905,1,21700
2322,6946,2,1100
6848,3991,1,1200
627,4811,1,1100
168,8107,1,1300
6625,6344,1,1200
2245,8594,1,1300
4675,2339,1,1000
4975,5072,1,1100
8987,677,1,1200
5520,8086,2,1400
6797,1364,1,1100
7655,4969,1,1300
7716,4807,1,1200
1359,2668,1,1100
6162,8102,2,1100
6817,1967,1,1400
6769,7239,1,1200
4928,3692,4,1100
8077,4633,41,1100
2422,3448,2,1300
285,3206,1,1500
97,5115,1,1300
6623,8911,1,1700
7937,7960,1,1200
7500,7495,5,1100
155,4469,1,1400
6524,6619,1,1200
2053,9578,1,1500
9968,4615,1,2000
8887,459,1,2200
65,9902,1,1400
8556,4036,4,1400
5043,8485,1,1500
9694,7895,1,1700
3919,3393,1,1300
1787,4737,1,1700
4343,5741,1,1300
9994,815,1,1600
9969,4092,3,1500
7513,5649,1,1200
7235,305,5,1800
8133,5665,1,1800
4696,9872,8,2100
5452,2994,2,2200
9140,7718,2,1600
5785,6571,1,1600
7527,1420,1,2300
4835,3251,1,1200
2829,3829,1,1400
6449,6881,1,1200
3447,3467,1,1100
5308,3440,4,1400
522,379,1,1700
5479,3281,1,1300
9195,6992,1,1500
83,5423,1,1100
1304,4688,8,1300
1125,3934,1,1300
3106,3979,1,1200
8119,163,1,1500
1712,9428,4,2000
3696,2321,11,1400
8079,242,1,1700
3267,4286,1,1500
9438,2390,2,1800
9075,9468,3,1400
6656,3010,2,1900
5039,7071,1,1400
783,9463,1,1700
2822,3702,2,1500
4095,9236,1,1200
731,2763,1,1300
8649,4336,1,2500
2749,9248,1,1400
3414,552,6,1700
8314,5631,1,1500
9853,5939,1,1300
1503,5437,1,1800
2390,1392,2,1300
9068,5011,1,1300
1116,7927,1,1400
741,393,3,1300
6131,6580,1,1300
515,9911,1,1500
5315,2966,1,1600
8161,2469,1,1200
3831,720,3,1300
3027,3157,1,3400
3339,9544,1,2200
1756,7723,1,1500
3377,9594,1,1400
1882,7079,1,1200
3894,8530,2,1400
5846,8623,1,2100
5570,4208,2,1500
1000,8201,1,1400
2879,4590,1,1300
1453,5168,1,1500
350,9178,2,1700
1075,8900,25,1200
1141,4662,7,1400
3332,4694,2,1300
7316,2238,2,1600
5793,9077,1,1600
6075,5755,5,2400
4393,1122,1,1600
5195,1109,1,1200
3379,3168,1,1600
1959,4707,3,1200
3428,4380,4,1600
7456,7387,1,1200
4130,893,1,1400
8927,1924,1,1800
3363,7257,177,1200
3060,8964,36,1300
7143,8556,3,1700
5629,5471,1,1500
7626,3023,1,1600
6343,3247,1,1200
1545,6502,1,1500
6816,9419,1,2700
3031,7952,7,2900
6513,6249,3,1300
5220,8123,1,1400
9369,2762,1,1700
7663,7582,1,1400
6593,5130,19,1300
603,2736,9,1400
9414,4282,2,1500
4739,9272,1,1100
9037,6701,1,1400
7959,982,1,1500
4329,8869,1,1800
8227,958,1,1800
6795,281,1,3000
7629,4482,3,1200
4647,9558,3,1300
7767,1181,1,1600
8432,4677,1,1400
8428,6991,1,1500
3743,1279,1,1500
9035,9044,1,1400
1230,3679,1,1300
5945,6807,1,1400
5471,6943,1,1500
6715,813,1,1400
9457,6641,1,1700
9620,5495,5,1800
91,9982,7,1300
229,1782,1,2600
8226,6453,9,1500
2980,423,1,1200
488,4352,8,1100
7949,9388,1,1400
4576,2642,2,1300
5361,367,1,1400
5507,3367,1,1600
8164,4158,2,2200
8367,1392,3,1200
688,899,1,1200
2724,8526,6,1200
3162,1476,6,1000
368,5430,2,1200
5294,9454,2,1300
5792,3995,1,1300
5110,9318,2,1300
1523,4462,1,1700
1063,9417,1,1500
5613,8425,1,1200
843,4984,1,1400
4979,225,1,1500
279,9643,1,2700
2532,1600,4,2100
4575,4863,3,1500
9490,1076,2,2000
1413,3408,3,1400
3962,1876,14,1100
4791,386,1,1200
3098,427,1,1200
5096,7057,1,2000
1492,9293,1,2200
9864,8674,2,1600
424,9488,8,1400
4455,4049,1,1100
4694,4221,1,1200
8194,3782,2,1000
1635,4502,1,1200
3203,4004,1,1200
7327,3238,1,1600
3656,8063,1,1700
1948,1823,1,1300
2348,9833,1,1700
4054,3506,2,1300
1450,5795,5,1300
4055,9330,5,1400
8206,5474,2,1100
355,860,5,1200
6811,8287,1,1400
9398,2860,2,1400
3397,68,1,1400
135,1522,1,1600
3124,9046,2,1600
1989,8622,9,1400
5660,7283,1,1500
2764,2237,1,1600
7327,5247,1,1300
8660,4624,4,1500
1362,3462,6,1200
45,9039,3,1100
4862,2086,2,1200
1731,7327,1,1400
6865,6307,1,1700
3120,6875,5,1500
7268,5074,2,1500
5786,6604,2,1400
3660,8639,1,1200
3514,7274,2,1500
6661,1269,1,1300
30,4619,1,1400
4085,2894,1,1500
1690,8971,1,1400
345,8106,3,2600
1342,4090,2,1400
9214,6322,2,1500
9957,7136,1,1300
9327,8328,3,1700
3623,5617,1,1500
9803,9676,1,1200
1668,7651,1,1300
8637,2660,1,1400
1301,8897,1,1500
177,9959,1,1400
594,2372,2,1300
5765,6059,1,1300
9278,8599,1,1200
63,3422,1,1500
2411,7263,1,1300
174,1533,3,1900
9690,7310,170,1400
6771,9007,1,1200
8284,6488,4,1300
6508,4702,2,1300
8966,8053,1,1600
476,4048,4,1200
495,6776,11,1200
5953,5588,1,1500
1706,8066,2,1200
1285,5319,1,1300
6202,2259,1,1400
9631,5766,1,1600
3781,94,1,1200
9736,4311,1,1800
3229,6537,1,1400
2597,8646,1,1300
8085,8256,3,1600
9127,4751,1,1300
5761,7700,7,1300
9403,797,1,1700
5745,358,1,1200
2624,3482,2,1400
1844,1460,4,1200
9284,2170,2,1500
1388,3301,1,1500
492,6686,2,1200
5860,1127,1,1900
3863,8624,1,1300
7355,3340,5,1300
6004,6055,1,1400
2844,1056,12,1200
254,7595,1,1300
504,2908,4,1300
1444,6514,2,1300
8794,1943,1,1400
6497,4105,1,1800
4470,4474,2,1200
9713,7568,11,1300
7510,5218,2,1300
9719,4705,1,1500
2958,9836,2,2400
4072,2222,2,1900
1,3784,1,1700
4322,4304,2,1300
5363,5921,31,1400
1698,6889,1,1500
2581,5697,1,2100
1690,8622,2,2700
5472,8407,1,27000
6502,6310,2,1600
511,3986,1,1000
4224,643,1,1500
1683,2387,11,1300
1579,1491,1,1300
9746,2486,22,1200
5146,6466,2,1500
9158,2204,38,1100
311,2399,1,1300
1775,3360,5,1100
8541,1975,1,1300
7111,514,1,1200
9843,6977,1,1400
9431,3418,1,1700
911,9408,1,1500
5971,7124,1,1400
3324,7265,1,1200
9473,6656,1,1500
4152,930,6,1300
2652,8183,1,1300
9842,9072,14,1500
9209,7235,1,1400
9422,1622,2,1300
4621,9742,1,1500
3838,9046,2,1300
8225,1070,5,1300
6800,9905,5,1300
4781,6885,1,1200
8483,861,1,1600
7402,9942,2,1300
5990,8357,1,1400
6920,9254,2,1300
1677,8034,39,1100
3086,5456,2,1200
9296,1684,4,1400
2075,5737,1,1200
1648,7286,2,1500
9830,5868,2,1300
2380,8443,1,1300
6002,8631,1,1200
7732,3655,1,1500
7637,2174,1,1200
6230,1359,1,1500
1332,6264,36,1100
8659,8155,7,1200
5961,4119,3,1200
1165,9205,5,1200
7649,5978,1,1200
4897,4738,1,1100
7971,6299,1,1400
8418,3068,2,1000
1164,6262,2,1400
6625,5019,1,1300
8348,2724,4,1200
6319,7217,1,1900
5121,9369,9,1300
4573,9890,1,1600
526,6151,1,1500
6386,7429,1,1300
5268,6197,1,1500
9294,1122,6,1900
6552,4610,2,1200
6852,6581,1,2100
3578,2780,2,1300
9883,1400,1,4600
1042,2839,1,2300
5181,1783,1,1300
7647,9876,3,1300
6392,3397,1,1700
7081,1480,1,1600
3634,2366,2,1200
9294,2301,3,1300
5882,1762,2,1400
5892,2089,1,2000
176,3949,11,1000
2470,4789,1,1800
911,8130,1,1500
347,8450,1,1400
6553,3322,1,1200
1743,4945,1,1600
59,6008,1,1200
9578,4384,2,1700
8143,8526,1,1400
3172,1687,1,1300
5379,458,1,1300
6310,4282,2,1300
8695,3427,1,1500
8170,6515,5,1100
1781,7453,1,1400
3559,2708,1,1100
5688,5419,1,1300
9402,8513,1,1500
8675,3087,1,1500
8755,9588,17,1700
6335,3103,1,1300
6939,6088,1,2000
1685,2644,1,1500
6075,6087,3,1800
7053,4501,1,1300
4594,7130,2,2000
8634,3082,2,1700
9661,7420,1,1600
898,9223,1,1300
1122,8608,2,1100
668,3933,1,1300
4156,1022,2,1400
8472,6856,8,1100
136,6621,1,1000
4427,3108,1,1300
4640,8556,4,1500
6191,5618,1,1300
6192,4029,3,1100
3295,4664,1,1400
1256,2852,4,1500
6480,1245,15,1300
1996,2235,1,1200
2573,4680,1,1400
7309,8433,1,1300
2115,9,9,900
1239,4549,1,1200
4227,162,3,900
9913,9405,1,1400
9401,150,1,1100
3459,8161,1,1400
7483,497,7,1100
8123,4341,1,1500
5241,8078,1,2600
4657,5605,1,1600
3640,6630,130,1400
2613,866,1,1400
4314,8448,6,1800
154,5143,1,1200
7183,6569,1,1100
5583,9076,1,1300
750,2672,2,1000
5579,521,1,1400
8427,6707,1,21500
5300,9489,1,1400
6691,6927,1,1800
8691,4035,3,1500
3856,5229,1,1500
9471,4943,1,1300
1136,7914,2,1100
7760,7778,2,800
6706,2354,2,1400
3840,4909,1,1200
4771,6734,13,1200
4082,5168,2,1100
9956,9847,1,1200
4320,501,3,1400
8191,5244,1,1500
650,2358,2,1000
9806,6851,1,1500
3066,9219,21,1200
4957,9486,1,1600
9535,220,5,1000
3641,1422,1,6100
1994,6592,2,1200
5959,6608,59,1300
4280,5285,5,1300
8580,812,4,5400
1375,8426,11,1100
1299,8897,1,1100
4794,4478,2,1300
4753,6182,1,1200
6693,3633,3,1000
7223,644,1,1200
3460,3092,4,1100
3477,3723,3,900
3652,7797,1,1200
9980,6609,1,1000
3608,6852,4,1000
8698,7405,1,1200
5624,9219,1,1200
6953,2475,1,1400
1930,9430,10,1100
2927,1263,1,1200
8356,8033,1,1100
565,3107,1,900
5147,4655,1,1100
3392,9831,1,1200
3905,9461,1,1600
666,690,6,1000
1516,8880,4,1200
156,1055,1,1100
5467,9977,11,1200
8061,2944,1,1200
8510,1111,1,1300
